name,meal_type,protein_type,cuisine,usda_cal,edamam_cal,delta_cal_%,usda_protein,edamam_protein,delta_protein_%,usda_fat,edamam_fat,delta_fat_%,usda_carbs,edamam_carbs,delta_carbs_%
"Stewed Lentils",entree,,American,2278,2193,4,91.9,82.2,12,119.3,118.9,0,229.3,214.4,7
"Chicken Tagine Bowl",entree,,Moroccan,2969,3549,-16,272.3,318.8,-15,87.8,331.2,-73,265.2,116.1,128
"Ground Beef Stir Fry",entree,,Asian,1892,1583,20,90.5,97.7,-7,135.5,105.2,29,81.5,55.6,47
"Blackened Chicken with Caramel",entree,,Middle Eastern,2347,2136,10,188.1,150.8,25,66.4,169.9,-61,164.8,155.1,6
"Cacio E Peppe White Bean Soup",entree,,Italian,3327,4235,-21,194.7,419.8,-54,122.7,128.7,-5,384.9,374.1,3
"Vegan Creamy Beany Cavolo Nero Pasta",entree,,American,13596,3082,341,687.5,122.5,461,185.7,72,158,2387.3,500.2,377
"Yakisoba with Veggies and Tiger Prawns",entree,,Asian,1762,1671,5,108.2,81.9,32,55.3,58.7,-6,212.4,210.1,1
"Baked Feta with Cherry Tomatoes",entree,,Mediterranean,1109,1350,-18,33.2,41.7,-20,97.6,104.5,-7,30.7,68.4,-55
"Filet Mignon Kabobs",entree,,American,3576,3333,7,192.3,204.5,-6,257.1,219.9,17,132.5,136.4,-3
"Green Minestrone Soup",entree,,Italian,1391,1405,-1,59.3,53.1,12,63.4,58.9,8,176.4,179,-1
"Marry Me Salmon",entree,,American,3672,3714,-1,233.1,188.4,24,267.9,238.9,12,33.3,222.7,-85
"Pomegranate Chicken",entree,,Asian,2419,4534,-47,235.7,258.1,-9,76.5,284.5,-73,182.5,233.4,-22
"Halibut Florentine",entree,,Italian,1741,1407,24,166,124.1,34,104.3,90,16,33.4,28.6,17
"Smoky Grilled Mushroom Doner",entree,,Middle Eastern,1208,1182,2,58,55.6,4,69.5,64.4,8,117,133.9,-13
"Sweet and Spicy Grilled Tofu with Pineapple and Herbed Cauliflower Rice",entree,,American,2542,1241,105,113.5,79,44,45.4,60.6,-25,505.5,128.6,293
"Hot Honey Salmon Bowl",entree,,Asian,3796,4593,-17,189.5,165.9,14,261.2,286.6,-9,194.8,366.5,-47
"Honey Garlic Shrimp",entree,,Asian,1314,2270,-42,106.5,130,-18,38.4,40.9,-6,149.8,356.4,-58
"Greek Chicken Meatball Bowl",entree,,Mediterranean,1995,2112,-6,122.4,107.4,14,113.7,141,-19,133.4,118.9,12
"Vegan Burritos",entree,,Mexican,5137,4663,10,173.8,114.4,52,370.3,237.9,56,371.8,556.4,-33
"Italian Wedding Soup",entree,,Italian,2561,2890,-11,169.8,171,-1,134,149,-10,188.5,209.1,-10
"Ginger Miso Brothy Soup with Crispy Shredded Sesame Tofu",entree,,Asian,2031,1563,30,73.5,98.4,-25,111.7,86.8,29,204.5,119.7,71
"Creamy Wild Rice Chicken Soup with Roasted Mushrooms",entree,Chicken,American,4460,4209,6,256.5,248.3,3,211.9,212.2,0,434.9,357.6,22
"Sheet Pan Sun-Dried Tomato Chicken Bowls",entree,Chicken,Mediterranean,2722,4295,-37,400.3,239.4,67,83.3,251.8,-67,73,270.2,-73
"Dump and Bake Chicken Alfredo Noodle Casserole",entree,Chicken,Italian,4250,5365,-21,268.7,260,3,256.9,308.2,-17,222.5,391.9,-43
"Chicken Shawarma Sheet Pan Dinner",entree,Chicken,Middle Eastern,2738,1678,63,227.5,168.9,35,71.4,55.3,29,306.6,129.3,137
"Simple Crispy Chicken Thighs",entree,Chicken,American,849,2752,-69,117.5,191.6,-39,38.1,212.6,-82,2.7,7.5,-64
"Crockpot Creamy Broccoli Cheddar Chicken",entree,Chicken,American,3181,3754,-15,262.2,289.2,-9,201.8,253.8,-20,85.7,81.6,5
"One-Pan Roast Chicken with Shallots, Mustard and White Wine",entree,Chicken,French,1979,4621,-57,238.2,277.8,-14,72.6,281.6,-74,28.4,158.4,-82
"One Pot Mustard Chicken and Orzo",entree,Chicken,American,2719,2456,11,250.7,236.7,6,84.5,77.7,9,217.2,177.8,22
"Bruschetta Chicken Pasta",entree,Chicken,Italian,4846,3080,57,627.8,218.6,187,96.8,66.3,46,372.3,386.2,-4
"Chicken with Preserved Lemons and Green Olives",entree,Chicken,Mediterranean,922,1452,-37,105.7,76.4,38,50.9,99,-49,17.6,68.5,-74
"Crispy Chicken Katsu Bowls",entree,Chicken,American,2357,4552,-48,188.5,304.8,-38,85,78.8,8,234.9,625.2,-62
"Sheet Pan Mediterranean Chicken",entree,Chicken,Mediterranean,3088,4274,-28,228,218.1,5,110.5,240.8,-54,307.8,352.6,-13
"Sticky Ginger Sesame Chicken and Crispy Brussels Sprouts",entree,Chicken,Fusion,2571,2615,-2,196.6,199.8,-2,115.7,122.7,-6,191.8,192.6,0
"Sheet Pan Lemon Chicken and Potatoes",entree,Chicken,American,1386,2591,-47,122.1,276.3,-56,77,93.7,-18,48.1,150.4,-68
"Rasta Pasta with Caribbean Jerk Chicken",entree,Chicken,Latin/South American,2788,3603,-23,160.5,248.2,-35,74.2,116.4,-36,364.1,381,-4
"Avocado Corn Chicken Salad",entree,Chicken,,4599,3697,24,190,275.7,-31,187.9,249.1,-25,592.9,124.3,377
"Lemon Chicken Pasta",entree,Chicken,Italian,4154,4165,0,272.9,275.6,-1,170.1,150.2,13,370,423.1,-13
"Indonesian Grilled Sambal Chicken",entree,Chicken,Asian,1057,948,11,66.9,63.1,6,40.1,39.6,1,110.2,83.5,32
"Chicken Taco Bowls",entree,Chicken,Latin/South American,2776,3382,-18,232.8,182.9,27,61,55.5,10,345.4,596.8,-42
